date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:37:40	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:37:40%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/574458$aspect%22>https://www.researchcatalogue.net/view/393791/574458$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/574458$aspect__https_/www.researchcatalogue.net/view/393791/574458$aspect_/a_	(from https://www.researchcatalogue.net/view/393791/574458)
11:37:41	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:37:41%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/574459$aspect%22>https://www.researchcatalogue.net/view/393791/574459$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/574459$aspect__https_/www.researchcatalogue.net/view/393791/574459$aspect_/a_	(from https://www.researchcatalogue.net/view/393791/574459)
11:37:42	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:37:42%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/574460$aspect%22>https://www.researchcatalogue.net/view/393791/574460$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/574460$aspect__https_/www.researchcatalogue.net/view/393791/574460$aspect_/a_	(from https://www.researchcatalogue.net/view/393791/574460)
11:37:43	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:37:43%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/574461$aspect%22>https://www.researchcatalogue.net/view/393791/574461$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/574461$aspect__https_/www.researchcatalogue.net/view/393791/574461$aspect_/a_	(from https://www.researchcatalogue.net/view/393791/574461)
11:37:44	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:37:44%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/574462$aspect%22>https://www.researchcatalogue.net/view/393791/574462$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/574462$aspect__https_/www.researchcatalogue.net/view/393791/574462$aspect_/a_	(from https://www.researchcatalogue.net/view/393791/574462)
11:37:45	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:37:45%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/574464$aspect%22>https://www.researchcatalogue.net/view/393791/574464$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/574464$aspect__https_/www.researchcatalogue.net/view/393791/574464$aspect_/a_	(from https://www.researchcatalogue.net/view/393791/574464)
11:37:46	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:37:46%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/574465$aspect%22>https://www.researchcatalogue.net/view/393791/574465$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/574465$aspect__https_/www.researchcatalogue.net/view/393791/574465$aspect_/a_	(from https://www.researchcatalogue.net/view/393791/574465)
11:37:47	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:37:47%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/574466$aspect%22>https://www.researchcatalogue.net/view/393791/574466$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/574466$aspect__https_/www.researchcatalogue.net/view/393791/574466$aspect_/a_	(from https://www.researchcatalogue.net/view/393791/574466)
11:37:48	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:37:48%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/574467$aspect%22>https://www.researchcatalogue.net/view/393791/574467$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/574467$aspect__https_/www.researchcatalogue.net/view/393791/574467$aspect_/a_	(from https://www.researchcatalogue.net/view/393791/574467)
11:37:49	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:37:49%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/574468$aspect%22>https://www.researchcatalogue.net/view/393791/574468$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/574468$aspect__https_/www.researchcatalogue.net/view/393791/574468$aspect_/a_	(from https://www.researchcatalogue.net/view/393791/574468)
11:37:50	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:37:50%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/574469$aspect%22>https://www.researchcatalogue.net/view/393791/574469$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/574469$aspect__https_/www.researchcatalogue.net/view/393791/574469$aspect_/a_	(from https://www.researchcatalogue.net/view/393791/574469)
11:37:51	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:37:51%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/574471$aspect%22>https://www.researchcatalogue.net/view/393791/574471$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/574471$aspect__https_/www.researchcatalogue.net/view/393791/574471$aspect_/a_	(from https://www.researchcatalogue.net/view/393791/574471)
11:37:52	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:37:52%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/574472$aspect%22>https://www.researchcatalogue.net/view/393791/574472$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/574472$aspect__https_/www.researchcatalogue.net/view/393791/574472$aspect_/a_	(from https://www.researchcatalogue.net/view/393791/574472)
11:37:53	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:37:53%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/584887$aspect%22>https://www.researchcatalogue.net/view/393791/584887$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/584887$aspect__https_/www.researchcatalogue.net/view/393791/584887$aspect_/a_	(from https://www.researchcatalogue.net/view/393791/584887)
11:37:54	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:37:54%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/584890$aspect%22>https://www.researchcatalogue.net/view/393791/584890$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/584890$aspect__https_/www.researchcatalogue.net/view/393791/584890$aspect_/a_	(from https://www.researchcatalogue.net/view/393791/584890)
11:38:31	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:37:55%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/588232$aspect%22>https://www.researchcatalogue.net/view/393791/588232$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/588232$aspect__https_/www.researchcatalogue.net/view/393791/588232$aspect_/a_.html	(from https://www.researchcatalogue.net/view/393791/588232)
11:38:32	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:37:55%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/574433$aspect%22>https://www.researchcatalogue.net/view/393791/574433$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/574433$aspect__https_/www.researchcatalogue.net/view/393791/574433$aspect_/a_.html	(from https://www.researchcatalogue.net/view/393791/574433)
11:38:32	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:37:55%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/574458$aspect%22>https://www.researchcatalogue.net/view/393791/574458$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/574458$aspect__https_/www.researchcatalogue.net/view/393791/574458$aspect_/a_.html	(from https://www.researchcatalogue.net/view/393791/574458)
11:38:32	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:37:55%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/574459$aspect%22>https://www.researchcatalogue.net/view/393791/574459$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/574459$aspect__https_/www.researchcatalogue.net/view/393791/574459$aspect_/a_.html	(from https://www.researchcatalogue.net/view/393791/574459)
11:39:08	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:38:32%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/574460$aspect%22>https://www.researchcatalogue.net/view/393791/574460$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/574460$aspect__https_/www.researchcatalogue.net/view/393791/574460$aspect_/a_.html	(from https://www.researchcatalogue.net/view/393791/574460)
11:39:10	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:38:33%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/574464$aspect%22>https://www.researchcatalogue.net/view/393791/574464$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/574464$aspect__https_/www.researchcatalogue.net/view/393791/574464$aspect_/a_.html	(from https://www.researchcatalogue.net/view/393791/574464)
11:39:10	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:38:33%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/574461$aspect%22>https://www.researchcatalogue.net/view/393791/574461$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/574461$aspect__https_/www.researchcatalogue.net/view/393791/574461$aspect_/a_.html	(from https://www.researchcatalogue.net/view/393791/574461)
11:39:10	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:38:33%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/574462$aspect%22>https://www.researchcatalogue.net/view/393791/574462$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/574462$aspect__https_/www.researchcatalogue.net/view/393791/574462$aspect_/a_.html	(from https://www.researchcatalogue.net/view/393791/574462)
11:39:45	834/834	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2015%20Feb%202021%2010:39:09%20GMT	https://www.researchcatalogue.net/view/393791/%22https://www.researchcatalogue.net/view/393791/574465$aspect%22>https://www.researchcatalogue.net/view/393791/574465$aspect</a>	h/hue%20blanes/www.researchcatalogue.net/view/393791/_https_/www.researchcatalogue.net/view/393791/574465$aspect__https_/www.researchcatalogue.net/view/393791/574465$aspect_/a_.html	(from https://www.researchcatalogue.net/view/393791/574465)
